Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII,TopTrumpsDeckTriObjective,GD,17,0.06660867790565542
NSGAII,TopTrumpsDeckTriObjective,GD,18,0.09516419710493965
NSGAII,TopTrumpsDeckTriObjective,GD,19,0.037882438336776666
NSGAII,TopTrumpsDeckTriObjective,GD,20,0.0437716881238292
NSGAII,TopTrumpsDeckTriObjective,GD,21,0.04266397962324859
NSGAII,TopTrumpsDeckTriObjective,GD,22,0.06760738209892131
NSGAII,TopTrumpsDeckTriObjective,GD,23,0.06436026620535441
NSGAII,TopTrumpsDeckTriObjective,GD,24,0.07552746013162957
NSGAII,TopTrumpsDeckTriObjective,GD,25,0.041800536397217224
NSGAII,TopTrumpsDeckTriObjective,GD,26,0.12045607492264507
NSGAII,TopTrumpsDeckTriObjective,GD,27,0.04398931815946121
NSGAII,TopTrumpsDeckTriObjective,GD,28,0.041967433000117224
NSGAII,TopTrumpsDeckTriObjective,GD,29,0.06620395624048758
NSGAII,TopTrumpsDeckTriObjective,NHV,0,0.19650529934116268
NSGAII,TopTrumpsDeckTriObjective,NHV,1,0.1623603551990832
NSGAII,TopTrumpsDeckTriObjective,NHV,2,0.2284159266685759
NSGAII,TopTrumpsDeckTriObjective,NHV,3,0.22807218562016573
NSGAII,TopTrumpsDeckTriObjective,NHV,4,0.16986536808937236
NSGAII,TopTrumpsDeckTriObjective,NHV,5,0.23953022056717266
NSGAII,TopTrumpsDeckTriObjective,NHV,6,0.1493554855342305
NSGAII,TopTrumpsDeckTriObjective,NHV,7,0.27487825837868773
NSGAII,TopTrumpsDeckTriObjective,NHV,8,0.19089086221712948
NSGAII,TopTrumpsDeckTriObjective,NHV,9,0.17599541678602093
NSGAII,TopTrumpsDeckTriObjective,NHV,10,0.20206244629046077
NSGAII,TopTrumpsDeckTriObjective,NHV,11,0.15978229733600646
NSGAII,TopTrumpsDeckTriObjective,NHV,12,0.26771698653680853
NSGAII,TopTrumpsDeckTriObjective,NHV,13,0.06118590661701495
NSGAII,TopTrumpsDeckTriObjective,NHV,14,0.2187338871383555
NSGAII,TopTrumpsDeckTriObjective,NHV,15,0.08971641363506122
NSGAII,TopTrumpsDeckTriObjective,NHV,16,0.22847321684331112
NSGAII,TopTrumpsDeckTriObjective,NHV,17,0.16367802921798869
NSGAII,TopTrumpsDeckTriObjective,NHV,18,0.20584359782297312
NSGAII,TopTrumpsDeckTriObjective,NHV,19,0.2049842452019477
NSGAII,TopTrumpsDeckTriObjective,NHV,20,0.17977656831853295
NSGAII,TopTrumpsDeckTriObjective,NHV,21,0.15588656545402413
NSGAII,TopTrumpsDeckTriObjective,NHV,22,0.20744772271555412
NSGAII,TopTrumpsDeckTriObjective,NHV,23,0.16820395302205637
NSGAII,TopTrumpsDeckTriObjective,NHV,24,0.13743912918934398
NSGAII,TopTrumpsDeckTriObjective,NHV,25,0.18309939845316514
NSGAII,TopTrumpsDeckTriObjective,NHV,26,0.22348897164136317
NSGAII,TopTrumpsDeckTriObjective,NHV,27,0.2729303924376968
NSGAII,TopTrumpsDeckTriObjective,NHV,28,0.15605843597822933
NSGAII,TopTrumpsDeckTriObjective,NHV,29,0.1903179604697791
NSGAII,TopTrumpsDeckTriObjective,IGD+,0,0.12107820520350165
NSGAII,TopTrumpsDeckTriObjective,IGD+,1,0.08900141755224143
NSGAII,TopTrumpsDeckTriObjective,IGD+,2,0.10144886792526626
NSGAII,TopTrumpsDeckTriObjective,IGD+,3,0.11510154290413525
NSGAII,TopTrumpsDeckTriObjective,IGD+,4,0.08774083797958517
NSGAII,TopTrumpsDeckTriObjective,IGD+,5,0.08298346752696897
NSGAII,TopTrumpsDeckTriObjective,IGD+,6,0.10290005158380598
NSGAII,TopTrumpsDeckTriObjective,IGD+,7,0.11622324522868975
NSGAII,TopTrumpsDeckTriObjective,IGD+,8,0.08916600407731756
NSGAII,TopTrumpsDeckTriObjective,IGD+,9,0.11284669917439553
NSGAII,TopTrumpsDeckTriObjective,IGD+,10,0.10015429509250494
NSGAII,TopTrumpsDeckTriObjective,IGD+,11,0.05934860351734745
NSGAII,TopTrumpsDeckTriObjective,IGD+,12,0.12600144419433276
NSGAII,TopTrumpsDeckTriObjective,IGD+,13,0.06411676760106833
NSGAII,TopTrumpsDeckTriObjective,IGD+,14,0.11098986166189853
NSGAII,TopTrumpsDeckTriObjective,IGD+,15,0.026883116883116866
NSGAII,TopTrumpsDeckTriObjective,IGD+,16,0.11753551862613089
NSGAII,TopTrumpsDeckTriObjective,IGD+,17,0.08869202157708146
NSGAII,TopTrumpsDeckTriObjective,IGD+,18,0.11383919082552614
NSGAII,TopTrumpsDeckTriObjective,IGD+,19,0.07786527379102502
NSGAII,TopTrumpsDeckTriObjective,IGD+,20,0.08813060073328662
NSGAII,TopTrumpsDeckTriObjective,IGD+,21,0.06952030423659435
NSGAII,TopTrumpsDeckTriObjective,IGD+,22,0.08923606574240395
NSGAII,TopTrumpsDeckTriObjective,IGD+,23,0.09270285561711822
NSGAII,TopTrumpsDeckTriObjective,IGD+,24,0.05470129870129869
NSGAII,TopTrumpsDeckTriObjective,IGD+,25,0.08782899705068127
NSGAII,TopTrumpsDeckTriObjective,IGD+,26,0.0918965546491834
NSGAII,TopTrumpsDeckTriObjective,IGD+,27,0.08601046679047046
NSGAII,TopTrumpsDeckTriObjective,IGD+,28,0.05011558695817926
NSGAII,TopTrumpsDeckTriObjective,IGD+,29,0.06594128894934351
